,iso2,year,cases,sex,age
0,AD,1996,0,f,0-14
1,AD,1996,1,f,15-24
2,AD,1996,1,f,25-34
3,AD,1996,0,f,35-44
4,AD,1996,0,f,45-54
5,AD,1996,1,f,55-64
6,AD,1996,0,m,0-14
7,AD,1996,0,m,15-24
8,AD,1996,0,m,25-34
9,AD,1996,4,m,35-44
10,AD,1996,1,m,45-54
11,AD,1996,0,m,55-64
12,AD,1997,0,f,0-14
13,AD,1997,1,f,15-24
14,AD,1997,2,f,25-34
15,AD,1997,3,f,35-44
16,AD,1997,0,f,45-54
17,AD,1997,0,f,55-64
18,AD,1997,0,m,0-14
19,AD,1997,0,m,15-24
20,AD,1997,1,m,25-34
21,AD,1997,2,m,35-44
22,AD,1997,2,m,45-54
23,AD,1997,1,m,55-64
24,AD,1998,0,m,0-14
25,AD,1998,0,m,15-24
26,AD,1998,0,m,25-34
27,AD,1998,1,m,35-44
28,AD,1998,0,m,45-54
29,AD,1998,0,m,55-64
30,AD,1999,0,f,0-14
31,AD,1999,0,f,15-24
32,AD,1999,0,f,25-34
33,AD,1999,1,f,35-44
34,AD,1999,0,f,45-54
35,AD,1999,0,f,55-64
36,AD,1999,0,m,0-14
37,AD,1999,0,m,15-24
38,AD,1999,0,m,25-34
39,AD,1999,1,m,35-44
40,AD,1999,1,m,45-54
41,AD,1999,0,m,55-64
42,AD,2000,0,m,0-14
43,AD,2000,0,m,15-24
44,AD,2000,1,m,25-34
45,AD,2000,0,m,35-44
46,AD,2000,0,m,45-54
47,AD,2000,0,m,55-64
48,AD,2001,0,m,0-14
49,AD,2001,2,m,35-44
50,AD,2001,1,m,45-54
51,AD,2002,0,f,0-14
52,AD,2002,1,f,15-24
53,AD,2002,0,f,25-34
54,AD,2002,0,f,35-44
55,AD,2002,0,f,45-54
56,AD,2002,0,f,55-64
57,AD,2002,0,m,0-14
58,AD,2002,0,m,15-24
59,AD,2002,0,m,25-34
60,AD,2002,1,m,35-44
61,AD,2002,0,m,45-54
62,AD,2002,0,m,55-64
63,AD,2003,0,f,0-14
64,AD,2003,1,f,15-24
65,AD,2003,1,f,25-34
66,AD,2003,1,f,35-44
67,AD,2003,0,f,45-54
68,AD,2003,0,f,55-64
69,AD,2003,0,m,0-14
70,AD,2003,0,m,15-24
71,AD,2003,0,m,25-34
72,AD,2003,1,m,35-44
73,AD,2003,2,m,45-54
74,AD,2003,0,m,55-64
75,AD,2004,0,f,0-14
76,AD,2004,0,f,15-24
77,AD,2004,1,f,25-34
78,AD,2004,0,f,35-44
79,AD,2004,0,f,45-54
80,AD,2004,0,f,55-64
81,AD,2004,0,m,0-14
82,AD,2004,0,m,15-24
83,AD,2004,0,m,25-34
84,AD,2004,1,m,35-44
85,AD,2004,1,m,45-54
86,AD,2004,0,m,55-64
87,AD,2005,0,f,0-14
88,AD,2005,1,f,15-24
89,AD,2005,1,f,25-34
90,AD,2005,1,f,35-44
91,AD,2005,0,f,45-54
92,AD,2005,0,f,5-14
93,AD,2005,0,f,55-64
94,AD,2005,0,m,0-14
95,AD,2005,0,m,15-24
96,AD,2005,1,m,25-34
97,AD,2005,1,m,35-44
98,AD,2005,0,m,45-54
99,AD,2005,0,m,5-14
100,AD,2005,0,m,55-64
101,AD,2006,0,f,0-14
102,AD,2006,0,f,15-24
103,AD,2006,1,f,25-34
104,AD,2006,0,f,35-44
105,AD,2006,1,f,45-54
106,AD,2006,0,f,5-14
107,AD,2006,0,f,55-64
108,AD,2006,0,m,0-14
109,AD,2006,1,m,15-24
110,AD,2006,1,m,25-34
111,AD,2006,2,m,35-44
112,AD,2006,0,m,45-54
113,AD,2006,0,m,5-14
114,AD,2006,1,m,55-64
115,AD,2007,1,f,25-34
116,AD,2007,1,f,45-54
117,AD,2008,0,f,0-14
118,AD,2008,0,f,15-24
119,AD,2008,0,f,25-34
120,AD,2008,1,f,35-44
121,AD,2008,1,f,45-54
122,AD,2008,0,f,5-14
123,AD,2008,0,f,55-64
124,AD,2008,0,m,0-14
125,AD,2008,0,m,15-24
126,AD,2008,0,m,25-34
127,AD,2008,0,m,35-44
128,AD,2008,1,m,45-54
129,AD,2008,0,m,5-14
130,AD,2008,0,m,55-64
131,AE,1999,9,f,0-14
132,AE,1999,11,f,15-24
133,AE,1999,5,f,25-34
134,AE,1999,3,f,35-44
135,AE,1999,0,f,45-54
136,AE,1999,3,f,55-64
137,AE,1999,4,m,0-14
138,AE,1999,9,m,15-24
139,AE,1999,3,m,25-34
140,AE,1999,2,m,35-44
141,AE,1999,4,m,45-54
142,AE,1999,6,m,55-64
143,AE,2000,3,f,0-14
144,AE,2000,16,f,15-24
145,AE,2000,1,f,25-34
146,AE,2000,3,f,35-44
147,AE,2000,0,f,45-54
148,AE,2000,0,f,55-64
149,AE,2000,2,m,0-14
150,AE,2000,4,m,15-24
151,AE,2000,4,m,25-34
152,AE,2000,6,m,35-44
153,AE,2000,5,m,45-54
154,AE,2000,12,m,55-64
155,AE,2002,3,f,0-14
156,AE,2002,3,f,15-24
157,AE,2002,8,f,25-34
158,AE,2002,3,f,35-44
159,AE,2002,4,f,45-54
160,AE,2002,10,f,55-64
161,AE,2002,1,m,0-14
162,AE,2002,2,m,15-24
163,AE,2002,0,m,25-34
164,AE,2002,6,m,35-44
165,AE,2002,6,m,45-54
166,AE,2002,10,m,55-64
167,AE,2003,4,f,0-14
168,AE,2003,9,f,15-24
169,AE,2003,5,f,25-34
170,AE,2003,3,f,35-44
171,AE,2003,3,f,45-54
172,AE,2003,2,f,55-64
173,AE,2003,2,m,0-14
174,AE,2003,10,m,15-24
175,AE,2003,8,m,25-34
176,AE,2003,12,m,35-44
177,AE,2003,3,m,45-54
178,AE,2003,2,m,55-64
179,AE,2004,3,f,0-14
180,AE,2004,6,f,15-24
181,AE,2004,2,f,25-34
182,AE,2004,7,f,35-44
183,AE,2004,2,f,45-54
184,AE,2004,2,f,55-64
185,AE,2004,1,m,0-14
186,AE,2004,7,m,15-24
187,AE,2004,6,m,25-34
188,AE,2004,7,m,35-44
189,AE,2004,3,m,45-54
190,AE,2004,1,m,55-64
191,AE,2006,2,f,0-14
192,AE,2006,6,f,15-24
193,AE,2006,4,f,25-34
194,AE,2006,5,f,35-44
195,AE,2006,3,f,45-54
196,AE,2006,2,f,5-14
197,AE,2006,4,f,55-64
198,AE,2006,0,m,0-14
199,AE,2006,5,m,15-24
200,AE,2006,3,m,25-34
201,AE,2006,7,m,35-44
202,AE,2006,3,m,45-54
203,AE,2006,0,m,5-14
204,AE,2006,1,m,55-64
205,AE,2007,1,f,0-14
206,AE,2007,8,f,15-24
207,AE,2007,6,f,25-34
208,AE,2007,3,f,35-44
209,AE,2007,2,f,45-54
210,AE,2007,1,f,5-14
211,AE,2007,0,f,55-64
212,AE,2007,2,m,0-14
213,AE,2007,5,m,15-24
214,AE,2007,6,m,25-34
215,AE,2007,3,m,35-44
216,AE,2007,4,m,45-54
217,AE,2007,2,m,5-14
218,AE,2007,3,m,55-64
219,AE,2008,0,f,0-14
220,AE,2008,10,f,15-24
221,AE,2008,4,f,25-34
222,AE,2008,1,f,35-44
223,AE,2008,1,f,45-54
224,AE,2008,0,f,5-14
225,AE,2008,3,f,55-64
226,AE,2008,0,m,0-14
227,AE,2008,6,m,15-24
228,AE,2008,1,m,25-34
229,AE,2008,7,m,35-44
230,AE,2008,5,m,45-54
231,AE,2008,0,m,5-14
232,AE,2008,3,m,55-64
233,AF,1997,5,f,0-14
234,AF,1997,38,f,15-24
235,AF,1997,36,f,25-34
236,AF,1997,14,f,35-44
237,AF,1997,8,f,45-54
238,AF,1997,0,f,55-64
239,AF,1997,0,m,0-14
240,AF,1997,10,m,15-24
241,AF,1997,6,m,25-34
242,AF,1997,3,m,35-44
243,AF,1997,5,m,45-54
244,AF,1997,2,m,55-64
245,AF,1998,45,f,0-14
246,AF,1998,350,f,15-24
247,AF,1998,419,f,25-34
248,AF,1998,194,f,35-44
249,AF,1998,118,f,45-54
250,AF,1998,61,f,55-64
251,AF,1998,30,m,0-14
252,AF,1998,129,m,15-24
253,AF,1998,128,m,25-34
254,AF,1998,90,m,35-44
255,AF,1998,89,m,45-54
256,AF,1998,64,m,55-64
257,AF,1999,25,f,0-14
258,AF,1999,139,f,15-24
259,AF,1999,160,f,25-34
260,AF,1999,110,f,35-44
261,AF,1999,50,f,45-54
262,AF,1999,25,f,55-64
263,AF,1999,8,m,0-14
264,AF,1999,55,m,15-24
265,AF,1999,55,m,25-34
266,AF,1999,47,m,35-44
267,AF,1999,34,m,45-54
268,AF,1999,21,m,55-64
269,AF,2000,93,f,0-14
270,AF,2000,414,f,15-24
271,AF,2000,565,f,25-34
272,AF,2000,339,f,35-44
273,AF,2000,205,f,45-54
274,AF,2000,99,f,55-64
275,AF,2000,52,m,0-14
276,AF,2000,228,m,15-24
277,AF,2000,183,m,25-34
278,AF,2000,149,m,35-44
279,AF,2000,129,m,45-54
280,AF,2000,94,m,55-64
281,AF,2001,146,f,0-14
282,AF,2001,799,f,15-24
283,AF,2001,888,f,25-34
284,AF,2001,586,f,35-44
285,AF,2001,375,f,45-54
286,AF,2001,179,f,55-64
287,AF,2001,129,m,0-14
288,AF,2001,379,m,15-24
289,AF,2001,349,m,25-34
290,AF,2001,274,m,35-44
291,AF,2001,204,m,45-54
292,AF,2001,139,m,55-64
293,AF,2002,192,f,0-14
294,AF,2002,1119,f,15-24
295,AF,2002,1251,f,25-34
296,AF,2002,792,f,35-44
297,AF,2002,526,f,45-54
298,AF,2002,320,f,55-64
299,AF,2002,90,m,0-14
300,AF,2002,476,m,15-24
301,AF,2002,481,m,25-34
302,AF,2002,368,m,35-44
303,AF,2002,246,m,45-54
304,AF,2002,241,m,55-64
305,AF,2003,245,f,0-14
306,AF,2003,1152,f,15-24
307,AF,2003,1287,f,25-34
308,AF,2003,814,f,35-44
309,AF,2003,462,f,45-54
310,AF,2003,305,f,55-64
311,AF,2003,127,m,0-14
312,AF,2003,511,m,15-24
313,AF,2003,436,m,25-34
314,AF,2003,284,m,35-44
315,AF,2003,256,m,45-54
316,AF,2003,288,m,55-64
